ID,Brand,Model,Year,Cost,Odometer,City,Registration Date,Cost_Per_KM,RegistrationYear,PriceCategory,ModelCleaned,price_segment,vehicle_type,vehicle_type_standardized
1,Volkswagen,Model B,2001,25000.0,50000.0,Cologne,2014-02-05 00:00:00,0.5,2014,Premium,Model B,High,SUV,Sport Utility
2,Mercedes,Model D,1994,10000.0,200000.0,Munich,2013-02-06 00:00:00,0.05,2013,Mid-Range,Model D,Medium,Sedan,Sedan
3,Ford,Model B,2016,15000.0,124920.90583631671,Hamburg,2021-03-12 00:00:00,0.12007597847276605,2021,Mid-Range,Model B,High,Convertible,Convertible
4,Mercedes,Model D,2004,25000.0,150000.0,Hamburg,2018-02-15 00:00:00,0.16666666666666666,2018,Premium,Model D,High,Hatchback,Hatchback
5,Mercedes,Model B,2015,20000.0,150000.0,Frankfurt,2011-06-30 00:00:00,0.13333333333333333,2011,Premium,Model B,High,Wagon,Wagon
6,Audi,Model D,1998,25000.0,200000.0,Hamburg,2013-11-18 00:00:00,0.125,2013,Premium,Model D,High,SUV,Sport Utility
7,Ford,Model B,2002,5000.0,50000.0,Berlin,2012-09-21 00:00:00,0.1,2012,Budget,Model B,Medium,Sedan,Sedan
8,Ford,Model D,2022,20000.0,100000.0,Frankfurt,2014-10-18 00:00:00,0.2,2014,Premium,Model D,High,Convertible,Convertible
9,Ford,Model A,1993,15000.0,200000.0,Frankfurt,2020-03-14 00:00:00,0.075,2020,Mid-Range,Model A,High,Hatchback,Hatchback
10,Mercedes,Model A,2002,20000.0,100000.0,Frankfurt,2017-04-11 00:00:00,0.2,2017,Premium,Model A,High,Wagon,Wagon
11,Volkswagen,Model D,1999,15000.0,124920.90583631671,Cologne,2011-04-30 00:00:00,0.12007597847276605,2011,Mid-Range,Model D,High,SUV,Sport Utility
12,Ford,Model B,1990,25000.0,150000.0,Munich,2017-06-19 00:00:00,0.16666666666666666,2017,Premium,Model B,High,Sedan,Sedan
13,Mercedes,Model C,2000,15000.0,124920.90583631671,Hamburg,2016-06-03 00:00:00,0.12007597847276605,2016,Mid-Range,Model C,High,Convertible,Convertible
14,Audi,Model C,1998,10000.0,100000.0,Hamburg,2015-11-24 00:00:00,0.1,2015,Mid-Range,Model C,Medium,Hatchback,Hatchback
15,Volkswagen,Model C,2012,5000.0,100000.0,Munich,2012-12-05 00:00:00,0.05,2012,Budget,Model C,Medium,Wagon,Wagon
16,Audi,Model C,2002,20000.0,100000.0,Frankfurt,2016-01-18 00:00:00,0.2,2016,Premium,Model C,High,SUV,Sport Utility
17,Volkswagen,Model D,1994,15000.0,150000.0,Frankfurt,2016-12-19 00:00:00,0.1,2016,Mid-Range,Model D,High,Sedan,Sedan
18,Mercedes,Model A,2014,15000.0,50000.0,Berlin,2011-06-12 00:00:00,0.3,2011,Mid-Range,Model A,High,Convertible,Convertible
19,BMW,Model A,1999,15000.0,50000.0,Berlin,2014-05-10 00:00:00,0.3,2014,Mid-Range,Model A,High,Hatchback,Hatchback
20,Volkswagen,Model C,1994,10000.0,150000.0,Hamburg,2011-03-20 00:00:00,0.06666666666666667,2011,Mid-Range,Model C,Medium,Wagon,Wagon
21,Audi,Model A,2011,5000.0,50000.0,Frankfurt,2021-01-31 00:00:00,0.1,2021,Budget,Model A,Medium,SUV,Sport Utility
22,Mercedes,Model D,2014,15000.0,50000.0,Cologne,2010-02-11 00:00:00,0.3,2010,Mid-Range,Model D,High,Sedan,Sedan
23,Volkswagen,Model C,2009,5000.0,150000.0,Munich,2017-03-14 00:00:00,0.03333333333333333,2017,Budget,Model C,Medium,Convertible,Convertible
24,BMW,Model D,2017,15000.0,50000.0,Frankfurt,2016-03-17 00:00:00,0.3,2016,Mid-Range,Model D,High,Hatchback,Hatchback
25,BMW,Model D,2010,20000.0,50000.0,Hamburg,2021-03-24 00:00:00,0.4,2021,Premium,Model D,High,Wagon,Wagon
26,Ford,Model B,2000,10000.0,200000.0,Munich,2012-10-29 00:00:00,0.05,2012,Mid-Range,Model B,Medium,SUV,Sport Utility
27,Ford,Model D,2018,15000.0,124920.90583631671,Hamburg,2020-05-04 00:00:00,0.12007597847276605,2020,Mid-Range,Model D,High,Sedan,Sedan
28,Audi,Model B,1994,20000.0,124920.90583631671,Hamburg,2015-09-27 00:00:00,0.16010130463035474,2015,Premium,Model B,High,Convertible,Convertible
29,Volkswagen,Model C,1994,15000.0,124920.90583631671,Munich,2019-08-24 00:00:00,0.12007597847276605,2019,Mid-Range,Model C,High,Hatchback,Hatchback
30,Volkswagen,Model D,2022,10000.0,200000.0,Berlin,2020-08-05 00:00:00,0.05,2020,Mid-Range,Model D,Medium,Wagon,Wagon
